,,"Estimated number of road traffic deaths","Estimated number of road traffic deaths","Estimated number of road traffic deaths","Estimated road traffic death rate (per 100 000 population)","Estimated road traffic death rate (per 100 000 population)","Estimated road traffic death rate (per 100 000 population)"
"Timor-Leste","2017","157 [136-178]","111 [96-126]","46 [40-52]","12.6 [10.9-14.3]","17.7 [15.4-20.1]","7.4 [6.4-8.4]"
"Timor-Leste","2016","161 [139-184]","114 [98-130]","47 [41-54]","13.2 [11.4-15.1]","18.4 [15.9-21.1]","7.8 [6.8-9.0]"
"Timor-Leste","2015","157 [135-178]","111 [95-125]","46 [40-53]","13.1 [11.3-14.9]","18.3 [15.7-20.7]","7.9 [6.8-8.9]"
"Timor-Leste","2014","153 [132-174]","107 [92-122]","46 [40-52]","13.0 [11.2-14.8]","18.0 [15.6-20.5]","7.9 [6.8-9.0]"
"Timor-Leste","2013","171 [147-195]","119 [102-135]","52 [45-60]","14.8 [12.7-16.9]","20.4 [17.5-23.2]","9.2 [7.9-10.4]"
"Timor-Leste","2012","166 [143-189]","115 [99-131]","51 [44-58]","14.7 [12.6-16.7]","20.1 [17.3-22.8]","9.1 [7.9-10.4]"
"Timor-Leste","2011","171 [149-194]","118 [102-133]","53 [47-61]","15.4 [13.4-17.4]","20.9 [18.2-23.7]","9.7 [8.5-11.0]"
"Timor-Leste","2010","167 [145-190]","113 [98-129]","54 [47-61]","15.3 [13.3-17.4]","20.5 [17.8-23.3]","9.9 [8.6-11.3]"
"Timor-Leste","2009","163 [140-186]","110 [94-125]","53 [46-61]","15.2 [13.0-17.3]","20.2 [17.4-23.1]","10.0 [8.6-11.4]"
"Timor-Leste","2008","159 [134-184]","106 [89-122]","53 [45-62]","15.1 [12.7-17.4]","19.8 [16.7-22.9]","10.2 [8.6-11.9]"
"Timor-Leste","2007","158 [129-187]","105 [86-124]","53 [43-63]","15.2 [12.4-18.0]","20.1 [16.4-23.8]","10.3 [8.4-12.2]"
"Timor-Leste","2006","162 [138-186]","107 [91-123]","55 [47-63]","15.9 [13.6-18.3]","20.9 [17.8-24.0]","10.9 [9.3-12.5]"
"Timor-Leste","2005","155 [132-179]","102 [87-118]","53 [45-61]","15.6 [13.3-18.0]","20.4 [17.4-23.5]","10.7 [9.1-12.3]"
"Timor-Leste","2004","149 [126-172]","97 [82-112]","52 [44-60]","15.3 [13.0-17.7]","19.8 [16.8-22.9]","10.7 [9.1-12.4]"
"Timor-Leste","2003","142 [120-164]","94 [79-108]","48 [41-56]","15.0 [12.7-17.3]","19.6 [16.6-22.6]","10.3 [8.7-11.9]"
"Timor-Leste","2002","134 [113-156]","88 [74-102]","46 [39-54]","14.5 [12.2-16.9]","18.8 [15.8-21.9]","10.2 [8.6-11.9]"
"Timor-Leste","2001","127 [107-147]","83 [70-96]","44 [37-51]","14.1 [11.9-16.3]","18.1 [15.3-21.0]","9.9 [8.4-11.5]"
"Timor-Leste","2000","128 [107-148]","83 [69-96]","45 [38-52]","14.5 [12.1-16.7]","18.5 [15.5-21.4]","10.3 [8.6-12.0]"
"Togo","2019","2316 [1886-2751]","1591 [1296-1890]","725 [590-861]","28.7 [23.3-34.0]","39.6 [32.2-47.0]","17.8 [14.5-21.2]"
"Togo","2018","2276 [1852-2704]","1571 [1278-1867]","705 [574-838]","28.8 [23.5-34.3]","40.0 [32.6-47.6]","17.8 [14.5-21.1]"
"Togo","2017","2245 [1826-2669]","1545 [1256-1837]","700 [569-832]","29.2 [23.7-34.7]","40.4 [32.8-48.0]","18.1 [14.7-21.5]"
"Togo","2016","2224 [1802-2653]","1521 [1233-1815]","703 [569-838]","29.6 [24.0-35.3]","40.8 [33.0-48.6]","18.6 [15.1-22.2]"
"Togo","2015","2191 [1785-2597]","1498 [1220-1776]","693 [565-821]","29.9 [24.4-35.5]","41.2 [33.5-48.8]","18.8 [15.3-22.3]"
"Togo","2014","2161 [1754-2568]","1478 [1199-1756]","683 [555-812]","30.3 [24.6-36.0]","41.7 [33.8-49.5]","19.0 [15.4-22.6]"
"Togo","2013","2133 [1727-2539]","1460 [1182-1738]","673 [545-801]","30.7 [24.8-36.5]","42.3 [34.2-50.3]","19.2 [15.6-22.9]"
"Togo","2012","2076 [1681-2471]","1417 [1147-1686]","659 [534-785]","30.6 [24.8-36.5]","42.1 [34.1-50.2]","19.3 [15.6-23.0]"
"Togo","2011","2054 [1661-2446]","1405 [1136-1674]","649 [525-772]","31.1 [25.2-37.1]","42.9 [34.7-51.1]","19.5 [15.8-23.2]"
"Togo","2010","1995 [1610-2381]","1368 [1104-1633]","627 [506-748]","31.1 [25.1-37.1]","43.0 [34.7-51.3]","19.4 [15.6-23.1]"
"Togo","2009","1954 [1574-2335]","1337 [1077-1597]","617 [497-738]","31.3 [25.2-37.4]","43.1 [34.7-51.5]","19.6 [15.8-23.4]"
"Togo","2008","1905 [1541-2268]","1304 [1055-1552]","601 [486-716]","31.3 [25.3-37.3]","43.2 [35.0-51.5]","19.6 [15.8-23.3]"
"Togo","2007","1841 [1484-2197]","1261 [1017-1505]","580 [467-692]","31.1 [25.1-37.1]","43.0 [34.7-51.3]","19.4 [15.6-23.2]"
"Togo","2006","1801 [1454-2149]","1229 [992-1466]","572 [462-683]","31.2 [25.2-37.3]","43.1 [34.8-51.4]","19.7 [15.9-23.5]"
"Togo","2005","1732 [1398-2066]","1177 [950-1404]","555 [448-662]","30.9 [24.9-36.8]","42.4 [34.2-50.6]","19.6 [15.8-23.4]"
"Togo","2004","1697 [1373-2021]","1146 [927-1364]","551 [446-656]","31.0 [25.1-37.0]","42.4 [34.3-50.4]","20.0 [16.1-23.8]"
"Togo","2003","1649 [1336-1963]","1106 [896-1316]","543 [440-646]","30.9 [25.1-36.8]","42.0 [34.0-49.9]","20.2 [16.3-24.0]"
"Togo","2002","1601 [1296-1906]","1064 [862-1268]","536 [434-639]","30.8 [24.9-36.7]","41.4 [33.6-49.3]","20.4 [16.5-24.3]"
"Togo","2001","1541 [1249-1834]","1028 [832-1223]","514 [416-611]","30.4 [24.7-36.2]","41.1 [33.3-48.9]","20.1 [16.2-23.9]"
"Togo","2000","1481 [1200-1762]","976 [790-1161]","505 [409-601]","30.1 [24.4-35.8]","40.1 [32.5-47.7]","20.3 [16.4-24.1]"
"Tonga","2019","34 [21-53]","26 [16-40]","8 [5-13]","33.0 [19.7-51.0]","50.1 [30.5-76.8]","15.7 [8.9-25.2]"
"Tonga","2018","25 [15-38]","19 [11-29]","6 [3-9]","23.9 [14.3-36.9]","36.4 [22.1-55.5]","11.4 [6.5-18.3]"
"Tonga","2017","18 [11-27]","13 [8-20]","4 [2-7]","17.3 [10.4-26.6]","26.4 [16.1-40.0]","8.3 [4.7-13.3]"
"Tonga","2016","18 [11-28]","14 [8-21]","4 [2-7]","17.8 [10.8-27.2]","27.1 [16.7-40.8]","8.5 [4.9-13.7]"
"Tonga","2015","7 [4-11]","5 [3-8]","2 [1-3]","6.9 [4.2-10.6]","10.5 [6.5-15.8]","3.4 [1.9-5.4]"
"Tonga","2014","6 [4-9]","5 [3-7]","1 [1-2]","5.9 [3.6-9.0]","9.0 [5.6-13.5]","2.9 [1.7-4.5]"
"Tonga","2013","8 [5-12]","6 [4-9]","2 [1-3]","7.9 [4.8-11.9]","11.9 [7.4-17.8]","3.8 [2.2-5.9]"
"Tonga","2012","8 [5-12]","6 [4-9]","2 [1-3]","7.8 [4.9-11.6]","11.8 [7.6-17.4]","3.7 [2.2-5.8]"
"Tonga","2011","9 [6-13]","7 [4-10]","2 [1-3]","8.7 [5.5-12.9]","13.2 [8.5-19.3]","4.2 [2.5-6.4]"
"Tonga","2010","6 [4-9]","5 [3-7]","1 [1-2]","5.8 [3.7-8.5]","8.8 [5.7-12.7]","2.8 [1.7-4.3]"
"Tonga","2009","11 [7-16]","8 [6-12]","3 [2-4]","10.6 [6.8-15.5]","16.2 [10.6-23.3]","5.0 [3.1-7.6]"
"Tonga","2008","18 [12-26]","14 [9-20]","4 [3-7]","17.4 [11.3-25.4]","26.4 [17.5-38.0]","8.3 [5.1-12.7]"
"Tonga","2007","14 [9-20]","11 [7-15]","3 [2-5]","13.6 [8.9-19.8]","20.7 [13.8-29.6]","6.5 [4.0-9.9]"
"Tonga","2006","15 [10-22]","11 [8-16]","4 [2-5]","14.7 [9.7-21.4]","22.4 [15.0-32.0]","7.1 [4.4-10.7]"
"Tonga","2005","14 [9-20]","11 [7-15]","3 [2-5]","13.9 [9.2-20.1]","21.0 [14.1-30.0]","6.7 [4.2-10.0]"
"Tonga","2004","13 [9-19]","10 [7-14]","3 [2-4]","13.0 [8.6-18.7]","19.8 [13.3-28.3]","6.0 [3.8-9.0]"
"Tonga","2003","13 [9-19]","10 [7-14]","3 [2-4]","13.1 [8.7-18.8]","19.8 [13.4-28.3]","6.1 [3.9-9.1]"
"Tonga","2002","13 [9-19]","10 [7-14]","3 [2-5]","13.1 [8.7-18.9]","19.7 [13.3-28.1]","6.4 [4.0-9.5]"
"Tonga","2001","13 [9-19]","10 [7-14]","3 [2-5]","13.2 [8.7-19.0]","19.6 [13.1-27.9]","6.6 [4.2-9.8]"
"Tonga","2000","13 [9-19]","10 [7-14]","3 [2-5]","13.3 [8.8-19.2]","19.6 [13.1-28.1]","6.7 [4.2-9.9]"
"Trinidad and Tobago","2019","130 [85-188]","104 [68-149]","26 [17-39]","9.3 [6.1-13.5]","15.1 [9.9-21.6]","3.7 [2.4-5.5]"
"Trinidad and Tobago","2018","141 [93-202]","113 [75-160]","29 [18-42]","10.2 [6.7-14.5]","16.4 [11.0-23.3]","4.1 [2.6-6.0]"
"Trinidad and Tobago","2017","153 [102-219]","123 [83-174]","31 [20-45]","11.1 [7.4-15.8]","17.9 [12.1-25.5]","4.4 [2.8-6.5]"
"Trinidad and Tobago","2016","165 [112-234]","132 [90-185]","33 [21-49]","12.0 [8.1-17.0]","19.4 [13.3-27.2]","4.7 [3.1-7.0]"
"Trinidad and Tobago","2015","180 [125-252]","144 [101-199]","36 [24-52]","13.1 [9.1-18.4]","21.2 [14.9-29.4]","5.2 [3.5-7.6]"
"Trinidad and Tobago","2014","202 [145-274]","162 [118-217]","40 [28-57]","14.8 [10.7-20.1]","24.0 [17.5-32.2]","5.9 [4.0-8.3]"
"Trinidad and Tobago","2013","189 [144-245]","151 [117-194]","38 [27-51]","14.0 [10.6-18.1]","22.6 [17.4-28.9]","5.5 [4.0-7.5]"
"Trinidad and Tobago","2012","240 [192-297]","189 [153-231]","51 [39-67]","17.8 [14.3-22.1]","28.3 [22.9-34.6]","7.6 [5.7-9.8]"
"Trinidad and Tobago","2011","213 [172-261]","168 [137-202]","45 [35-58]","15.9 [12.9-19.5]","25.4 [20.8-30.6]","6.7 [5.1-8.6]"
"Trinidad and Tobago","2010","268 [218-325]","211 [174-252]","57 [44-73]","20.2 [16.4-24.5]","32.0 [26.5-38.3]","8.6 [6.6-10.9]"
"Trinidad and Tobago","2009","292 [238-353]","233 [193-277]","59 [46-76]","22.1 [18.0-26.7]","35.6 [29.5-42.3]","8.9 [6.9-11.4]"
"Trinidad and Tobago","2008","326 [267-392]","257 [213-304]","69 [54-88]","24.8 [20.3-29.8]","39.4 [32.7-46.6]","10.5 [8.1-13.3]"
"Trinidad and Tobago","2007","275 [226-330]","215 [179-253]","60 [47-77]","21.0 [17.3-25.2]","33.1 [27.7-39.0]","9.1 [7.1-11.6]"
"Trinidad and Tobago","2006","262 [215-315]","203 [169-240]","59 [46-76]","20.1 [16.5-24.2]","31.4 [26.2-37.1]","9.1 [7.0-11.5]"
"Trinidad and Tobago","2005","249 [205-299]","195 [163-231]","54 [42-68]","19.2 [15.8-23.1]","30.4 [25.4-35.9]","8.2 [6.4-10.4]"
"Trinidad and Tobago","2004","231 [190-278]","179 [150-212]","52 [40-66]","17.9 [14.7-21.6]","28.0 [23.5-33.1]","8.0 [6.1-10.1]"
"Trinidad and Tobago","2003","260 [214-314]","202 [169-240]","58 [44-74]","20.3 [16.6-24.4]","31.7 [26.5-37.6]","9.0 [6.9-11.4]"
"Trinidad and Tobago","2002","192 [157-232]","149 [124-177]","43 [33-55]","15.0 [12.3-18.2]","23.4 [19.5-27.9]","6.7 [5.2-8.6]"
"Trinidad and Tobago","2001","205 [167-248]","157 [130-186]","48 [37-62]","16.1 [13.2-19.5]","24.8 [20.6-29.4]","7.6 [5.8-9.7]"
"Trinidad and Tobago","2000","172 [140-209]","129 [107-154]","43 [33-55]","13.6 [11.0-16.5]","20.5 [17.0-24.4]","6.7 [5.1-8.6]"
"Tunisia","2019","1928 [1732-2131]","1368 [1229-1512]","560 [503-619]","16.5 [14.8-18.2]","23.6 [21.2-26.1]","9.5 [8.5-10.5]"
"Tunisia","2018","2166 [1943-2394]","1534 [1376-1696]","632 [567-698]","18.7 [16.8-20.7]","26.8 [24.0-29.6]","10.8 [9.7-12.0]"
"Tunisia","2017","2461 [2204-2721]","1741 [1560-1925]","720 [645-796]","21.5 [19.3-23.8]","30.7 [27.5-34.0]","12.5 [11.2-13.8]"
"Tunisia","2016","2595 [2322-2871]","1834 [1641-2029]","761 [681-842]","23.0 [20.5-25.4]","32.7 [29.3-36.2]","13.3 [11.9-14.8]"
"Tunisia","2015","2559 [2286-2831]","1806 [1614-1998]","753 [672-833]","22.9 [20.4-25.3]","32.6 [29.1-36.1]","13.3 [11.9-14.8]"
"Tunisia","2014","2517 [2247-2788]","1777 [1587-1969]","740 [660-819]","22.8 [20.3-25.2]","32.4 [28.9-35.9]","13.3 [11.8-14.7]"
"Tunisia","2013","2502 [2230-2773]","1766 [1574-1958]","736 [656-815]","22.8 [20.4-25.3]","32.5 [28.9-36.0]","13.3 [11.9-14.8]"
"Tunisia","2012","2482 [2210-2754]","1750 [1559-1942]","732 [651-812]","22.9 [20.4-25.4]","32.4 [28.9-36.0]","13.4 [11.9-14.9]"
"Tunisia","2011","2542 [2268-2817]","1792 [1599-1986]","750 [669-831]","23.7 [21.1-26.2]","33.5 [29.9-37.1]","13.9 [12.4-15.4]"
"Tunisia","2010","2538 [2266-2810]","1787 [1595-1978]","751 [671-832]","23.9 [21.3-26.4]","33.7 [30.1-37.3]","14.1 [12.6-15.6]"
"Tunisia","2009","2508 [2239-2777]","1766 [1576-1955]","742 [663-822]","23.8 [21.3-26.4]","33.6 [30.0-37.2]","14.1 [12.6-15.6]"
"Tunisia","2008","2498 [2231-2765]","1758 [1570-1946]","740 [661-819]","24.0 [21.4-26.5]","33.8 [30.2-37.4]","14.2 [12.7-15.7]"
"Tunisia","2007","2447 [2183-2711]","1722 [1537-1908]","725 [646-803]","23.7 [21.2-26.3]","33.4 [29.8-37.1]","14.1 [12.5-15.6]"
"Tunisia","2006","2434 [2171-2698]","1713 [1528-1899]","721 [643-799]","23.9 [21.3-26.4]","33.6 [30.0-37.2]","14.1 [12.6-15.7]"
"Tunisia","2005","2432 [2167-2696]","1714 [1527-1900]","718 [640-796]","24.1 [21.4-26.7]","33.9 [30.2-37.6]","14.2 [12.7-15.8]"
"Tunisia","2004","2348 [2090-2606]","1660 [1477-1842]","688 [613-764]","23.4 [20.9-26.0]","33.1 [29.4-36.7]","13.8 [12.2-15.3]"
"Tunisia","2003","2322 [2063-2581]","1645 [1462-1829]","677 [601-752]","23.3 [20.7-26.0]","33.0 [29.3-36.7]","13.7 [12.1-15.2]"
"Tunisia","2002","2261 [2004-2518]","1610 [1427-1793]","651 [577-725]","22.9 [20.3-25.5]","32.5 [28.8-36.2]","13.2 [11.7-14.8]"
"Tunisia","2001","2277 [2019-2535]","1626 [1442-1810]","651 [577-725]","23.2 [20.6-25.9]","33.0 [29.3-36.7]","13.4 [11.9-14.9]"
"Tunisia","2000","2302 [2039-2564]","1648 [1460-1836]","654 [579-728]","23.7 [21.0-26.4]","33.7 [29.9-37.6]","13.6 [12.0-15.1]"
"Turkmenistan","2019","800 [558-1148]","621 [433-890]","180 [125-258]","13.5 [9.4-19.3]","21.2 [14.8-30.4]","6.0 [4.2-8.5]"
"Turkmenistan","2018","828 [613-1117]","646 [479-873]","181 [134-245]","14.1 [10.5-19.1]","22.4 [16.6-30.3]","6.1 [4.5-8.2]"
"Turkmenistan","2017","839 [663-1062]","653 [516-827]","186 [147-235]","14.6 [11.5-18.4]","23.0 [18.2-29.2]","6.4 [5.0-8.1]"
"Turkmenistan","2016","802 [667-965]","627 [521-754]","175 [146-211]","14.2 [11.8-17.0]","22.5 [18.7-27.0]","6.1 [5.1-7.3]"
"Turkmenistan","2015","910 [848-972]","713 [665-762]","197 [183-210]","16.4 [15.2-17.5]","26.0 [24.3-27.8]","7.0 [6.5-7.4]"
"Turkmenistan","2014","893 [831-956]","712 [663-763]","181 [168-193]","16.3 [15.2-17.5]","26.5 [24.6-28.3]","6.5 [6.1-7.0]"
"Turkmenistan","2013","914 [851-976]","722 [673-771]","192 [178-205]","17.0 [15.9-18.2]","27.4 [25.5-29.2]","7.0 [6.5-7.5]"
"Turkmenistan","2012","835 [778-891]","660 [615-705]","175 [163-186]","15.9 [14.8-16.9]","25.5 [23.7-27.2]","6.5 [6.1-7.0]"
"Turkmenistan","2011","858 [780-936]","683 [621-745]","175 [159-191]","16.6 [15.1-18.1]","26.8 [24.4-29.3]","6.7 [6.1-7.3]"
"Turkmenistan","2010","858 [780-937]","689 [626-753]","169 [154-184]","16.9 [15.3-18.4]","27.5 [25.0-30.1]","6.5 [5.9-7.1]"
"Turkmenistan","2009","837 [758-916]","668 [605-731]","169 [153-185]","16.7 [15.1-18.3]","27.1 [24.6-29.7]","6.6 [6.0-7.3]"
"Turkmenistan","2008","822 [745-899]","657 [596-719]","165 [149-180]","16.7 [15.1-18.2]","27.1 [24.5-29.6]","6.6 [5.9-7.2]"
"Turkmenistan","2007","825 [748-902]","661 [599-722]","164 [149-180]","16.9 [15.4-18.5]","27.6 [25.0-30.1]","6.6 [6.0-7.3]"
"Turkmenistan","2006","821 [745-896]","651 [591-711]","170 [154-185]","17.1 [15.5-18.6]","27.5 [25.0-30.0]","6.9 [6.3-7.6]"
"Turkmenistan","2005","816 [741-891]","649 [589-708]","167 [152-183]","17.2 [15.6-18.7]","27.7 [25.2-30.3]","6.9 [6.3-7.6]"
"Turkmenistan","2004","816 [740-892]","642 [582-702]","174 [158-190]","17.3 [15.7-19.0]","27.8 [25.2-30.3]","7.3 [6.6-8.0]"
"Turkmenistan","2003","783 [711-856]","619 [562-677]","164 [149-179]","16.8 [15.3-18.4]","27.0 [24.5-29.5]","6.9 [6.3-7.6]"
"Turkmenistan","2002","768 [694-841]","590 [533-646]","178 [161-195]","16.7 [15.1-18.2]","26.0 [23.5-28.5]","7.6 [6.9-8.3]"
"Turkmenistan","2001","744 [670-818]","570 [513-627]","174 [157-191]","16.3 [14.7-17.9]","25.4 [22.9-27.9]","7.5 [6.8-8.2]"
"Turkmenistan","2000","727 [647-807]","557 [496-618]","170 [151-189]","16.1 [14.3-17.9]","25.1 [22.3-27.8]","7.4 [6.6-8.2]"
"Uganda","2019","13012 [10256-15840]","10030 [7905-12210]","2983 [2351-3631]","29.4 [23.2-35.8]","46.0 [36.3-56.0]","13.3 [10.5-16.2]"
"Uganda","2018","12675 [9982-15424]","9750 [7679-11864]","2925 [2304-3560]","29.7 [23.4-36.1]","46.4 [36.5-56.4]","13.5 [10.6-16.4]"
"Uganda","2017","12324 [9699-14990]","9461 [7445-11507]","2864 [2254-3483]","29.9 [23.6-36.4]","46.7 [36.8-56.8]","13.7 [10.8-16.7]"
"Uganda","2016","12036 [9469-14641]","9216 [7250-11211]","2820 [2219-3430]","30.4 [23.9-36.9]","47.3 [37.2-57.5]","14.0 [11.0-17.0]"
"Uganda","2015","11574 [9091-14057]","8857 [6957-10757]","2717 [2134-3300]","30.3 [23.8-36.8]","47.2 [37.1-57.3]","14.0 [11.0-17.0]"
"Uganda","2014","11154 [8757-13550]","8516 [6686-10346]","2638 [2071-3204]","30.2 [23.7-36.7]","47.0 [36.9-57.1]","14.0 [11.0-17.1]"
"Uganda","2013","10687 [8386-12988]","8187 [6424-9950]","2500 [1962-3038]","29.9 [23.5-36.4]","46.7 [36.7-56.8]","13.8 [10.8-16.7]"
"Uganda","2012","10189 [7992-12387]","7860 [6165-9555]","2329 [1827-2832]","29.5 [23.1-35.8]","46.4 [36.4-56.4]","13.2 [10.4-16.1]"
"Uganda","2011","9508 [7459-11557]","7335 [5754-8916]","2173 [1705-2641]","28.4 [22.3-34.5]","44.7 [35.0-54.3]","12.7 [10.0-15.5]"
"Uganda","2010","10459 [8206-12712]","8079 [6339-9819]","2380 [1867-2893]","32.3 [25.3-39.2]","50.8 [39.8-61.7]","14.4 [11.3-17.5]"
"Uganda","2009","10018 [7860-12176]","7750 [6081-9420]","2268 [1779-2756]","31.9 [25.0-38.8]","50.2 [39.4-61.1]","14.2 [11.1-17.2]"
"Uganda","2008","9662 [7551-11773]","7433 [5809-9057]","2229 [1742-2716]","31.7 [24.8-38.7]","49.7 [38.8-60.6]","14.4 [11.3-17.5]"
"Uganda","2007","9372 [7308-11435]","7167 [5589-8745]","2205 [1719-2690]","31.8 [24.8-38.8]","49.4 [38.5-60.3]","14.7 [11.5-18.0]"
"Uganda","2006","9092 [7024-11161]","6913 [5341-8486]","2179 [1683-2675]","31.8 [24.6-39.1]","49.1 [38.0-60.3]","15.0 [11.6-18.4]"
"Uganda","2005","9002 [6928-11076]","6818 [5248-8389]","2184 [1680-2687]","32.5 [25.0-40.0]","50.0 [38.5-61.5]","15.5 [12.0-19.1]"
"Uganda","2004","8699 [6678-10720]","6577 [5049-8104]","2122 [1629-2616]","32.4 [24.9-40.0]","49.8 [38.2-61.3]","15.6 [12.0-19.2]"
"Uganda","2003","8488 [6475-10502]","6426 [4902-7950]","2062 [1573-2552]","32.7 [24.9-40.4]","50.2 [38.3-62.1]","15.6 [11.9-19.4]"
"Uganda","2002","8389 [6354-10424]","6328 [4793-7863]","2061 [1561-2561]","33.3 [25.2-41.4]","51.1 [38.7-63.4]","16.1 [12.2-20.0]"
"Uganda","2001","8192 [6152-10232]","6182 [4643-7721]","2010 [1509-2511]","33.6 [25.2-42.0]","51.5 [38.7-64.3]","16.2 [12.2-20.3]"
"Uganda","2000","8010 [6081-9939]","6066 [4605-7527]","1944 [1476-2412]","33.9 [25.7-42.0]","52.1 [39.6-64.6]","16.2 [12.3-20.1]"
"Ukraine","2019","4487 [3250-6038]","3412 [2488-4529]","1076 [762-1509]","10.2 [7.4-13.7]","16.7 [12.2-22.2]","4.6 [3.2-6.4]"
"Ukraine","2018","4429 [3311-5736]","3367 [2532-4298]","1062 [779-1437]","10.0 [7.5-13.0]","16.4 [12.4-21.0]","4.5 [3.3-6.1]"
"Ukraine","2017","4599 [3639-5659]","3482 [2761-4263]","1117 [878-1397]","10.3 [8.2-12.7]","16.9 [13.4-20.7]","4.7 [3.7-5.8]"
"Ukraine","2016","6089 [5039-7174]","4626 [3822-5442]","1463 [1217-1732]","13.6 [11.3-16.0]","22.4 [18.5-26.3]","6.1 [5.1-7.2]"
"Ukraine","2015","5797 [4776-6754]","4394 [3599-5111]","1403 [1178-1643]","12.9 [10.6-15.0]","21.1 [17.3-24.6]","5.8 [4.9-6.8]"
"Ukraine","2014","6201 [5379-7135]","4745 [4130-5439]","1456 [1249-1696]","13.7 [11.9-15.8]","22.8 [19.8-26.1]","6.0 [5.1-7.0]"
"Ukraine","2013","6596 [5756-7533]","5025 [4404-5718]","1571 [1352-1815]","14.6 [12.7-16.6]","24.0 [21.0-27.3]","6.4 [5.5-7.4]"
"Ukraine","2012","7060 [6191-8046]","5375 [4736-6104]","1685 [1455-1942]","15.5 [13.6-17.7]","25.6 [22.6-29.1]","6.9 [5.9-7.9]"
"Ukraine","2011","6926 [6089-7897]","5278 [4661-6004]","1648 [1428-1893]","15.2 [13.3-17.3]","25.1 [22.1-28.5]","6.7 [5.8-7.7]"
"Ukraine","2010","7066 [6242-7993]","5372 [4767-6058]","1694 [1475-1935]","15.4 [13.6-17.5]","25.4 [22.6-28.7]","6.9 [6.0-7.8]"
"Ukraine","2009","7836 [6948-8786]","6008 [5350-6707]","1828 [1597-2080]","17.0 [15.1-19.1]","28.3 [25.2-31.6]","7.4 [6.5-8.4]"
"Ukraine","2008","11452 [10035-12883]","8878 [7799-9951]","2574 [2236-2932]","24.8 [21.7-27.9]","41.6 [36.6-46.6]","10.4 [9.0-11.8]"
"Ukraine","2007","13674 [12050-15352]","10623 [9392-11888]","3051 [2658-3464]","29.5 [26.0-33.1]","49.5 [43.8-55.4]","12.2 [10.7-13.9]"
"Ukraine","2006","11790 [10466-13203]","9076 [8093-10129]","2714 [2372-3075]","25.3 [22.5-28.3]","42.0 [37.5-46.9]","10.9 [9.5-12.3]"
"Ukraine","2005","11797 [10419-13259]","9100 [8066-10193]","2697 [2353-3066]","25.2 [22.2-28.3]","41.8 [37.1-46.9]","10.7 [9.4-12.2]"
"Ukraine","2004","9719 [8578-10956]","7459 [6612-8378]","2260 [1966-2578]","20.6 [18.2-23.2]","34.0 [30.2-38.2]","8.9 [7.8-10.2]"
"Ukraine","2003","9581 [8429-10841]","7303 [6451-8239]","2278 [1978-2602]","20.1 [17.7-22.8]","33.0 [29.2-37.3]","8.9 [7.8-10.2]"
"Ukraine","2002","9358 [8212-10617]","7155 [6304-8090]","2203 [1908-2527]","19.5 [17.1-22.1]","32.1 [28.3-36.3]","8.6 [7.4-9.8]"
"Ukraine","2001","8605 [7527-9775]","6549 [5752-7411]","2056 [1775-2364]","17.8 [15.6-20.2]","29.1 [25.5-32.9]","7.9 [6.9-9.1]"
"Ukraine","2000","6646 [5806-7551]","5068 [4447-5736]","1578 [1359-1815]","13.6 [11.9-15.5]","22.3 [19.6-25.2]","6.0 [5.2-7.0]"
"United Arab Emirates","2019","870 [748-989]","730 [627-829]","141 [121-160]","8.9 [7.7-10.1]","10.8 [9.3-12.3]","4.7 [4.0-5.3]"
"United Arab Emirates","2018","1085 [931-1236]","909 [779-1035]","176 [151-201]","11.3 [9.7-12.8]","13.6 [11.7-15.5]","6.0 [5.1-6.8]"
"United Arab Emirates","2017","1258 [1077-1436]","1052 [900-1200]","206 [177-236]","13.3 [11.4-15.1]","15.9 [13.7-18.2]","7.1 [6.1-8.1]"
"United Arab Emirates","2016","1678 [1434-1920]","1417 [1211-1622]","261 [223-298]","17.9 [15.3-20.5]","21.7 [18.5-24.8]","9.2 [7.9-10.6]"
"United Arab Emirates","2015","1676 [1431-1921]","1427 [1219-1636]","249 [212-285]","18.1 [15.4-20.7]","21.9 [18.7-25.1]","9.1 [7.7-10.4]"
"United Arab Emirates","2014","1636 [1394-1879]","1409 [1201-1619]","227 [193-260]","17.8 [15.1-20.4]","21.5 [18.3-24.7]","8.6 [7.3-9.8]"
"United Arab Emirates","2013","1623 [1379-1867]","1416 [1203-1629]","207 [176-238]","17.6 [15.0-20.3]","21.3 [18.1-24.5]","8.1 [6.9-9.4]"
"United Arab Emirates","2012","1635 [1388-1881]","1443 [1225-1661]","192 [163-220]","17.9 [15.2-20.6]","21.5 [18.3-24.7]","7.9 [6.7-9.1]"
"United Arab Emirates","2011","1710 [1447-1974]","1520 [1287-1755]","190 [160-219]","19.1 [16.2-22.1]","22.9 [19.4-26.4]","8.3 [7.0-9.5]"
"United Arab Emirates","2010","1659 [1404-1914]","1481 [1253-1709]","178 [151-205]","19.4 [16.4-22.4]","23.2 [19.6-26.7]","8.3 [7.0-9.5]"
"United Arab Emirates","2009","1506 [1281-1730]","1345 [1144-1545]","161 [137-185]","19.0 [16.2-21.9]","22.7 [19.3-26.1]","8.1 [6.9-9.3]"
"United Arab Emirates","2008","1273 [1086-1459]","1132 [966-1298]","141 [120-161]","18.0 [15.3-20.6]","21.5 [18.3-24.6]","7.7 [6.6-8.8]"
